CmaCh00G005180.1	558	3073618	481	61.538	143	18	1	118	223	291	433	3.22e-40	156
CmaCh00G005180.1	558	3073618	481	61.345	119	9	1	142	223	161	279	6.02e-30	127
CmaCh10G010450.1	650	3256799	1234	38.913	460	244	10	36	484	638	1071	1.24e-78	276
CmaCh10G010450.1	650	3256295	1223	36.731	520	281	14	36	531	638	1133	7.01e-78	273
CmaCh10G010450.1	650	3354028	784	39.594	394	205	10	66	434	387	772	4.21e-71	249
CmaCh10G010450.1	650	3255359	3024	42.049	371	181	8	124	490	2484	2824	1.01e-68	248
CmaCh10G010450.1	650	2944579	1379	38.974	390	206	10	97	468	314	689	4.05e-63	231
CmaCh10G010450.1	650	3079487	1638	40.122	329	183	6	97	412	547	874	4.51e-56	210
CmaCh10G010450.1	650	3079487	1638	41.398	186	97	3	291	476	910	1083	2.57e-26	119
CmaCh10G010450.1	650	3079488	1538	38.690	336	167	8	97	412	458	774	2.43e-51	196
CmaCh10G010450.1	650	3079488	1538	47.917	144	74	1	291	434	810	952	3.38e-26	119
CmaCh10G010450.1	650	2938750	824	36.036	333	179	8	154	473	239	550	5.80e-42	167
CmaCh10G010450.1	650	3066725	1206	33.069	378	197	10	154	495	48	405	7.97e-41	164
CmaCh10G010450.1	650	2934250	466	33.962	318	158	7	36	348	52	322	3.61e-35	142
CmaCh10G010450.1	650	2814019	401	35.931	231	118	8	182	404	182	390	1.26e-20	99.0
CmaCh10G010450.1	650	3078377	198	50.000	66	27	1	164	223	133	198	8.06e-11	65.9
CmaCh10G010440.1	474	2995480	509	37.083	480	260	12	3	474	29	474	1.55e-83	270
CmaCh10G010440.1	474	3274958	516	35.565	478	276	10	7	474	27	482	3.14e-81	264
CmaCh10G010440.1	474	3159520	498	34.855	482	281	12	3	474	7	465	2.21e-80	261
CmaCh10G010440.1	474	2927227	516	35.637	463	273	11	18	474	38	481	2.22e-79	259
CmaCh10G010440.1	474	3039821	505	36.345	476	276	13	4	474	18	471	2.25e-79	259
CmaCh10G010440.1	474	3247417	505	35.551	481	280	12	3	474	13	472	6.74e-79	258
CmaCh10G010440.1	474	3346711	649	31.619	525	273	13	20	474	16	524	1.66e-78	261
CmaCh10G010440.1	474	3062939	514	34.989	463	277	11	17	474	37	480	1.75e-78	257
CmaCh10G010440.1	474	2942716	595	37.500	376	213	7	97	470	236	591	2.90e-78	259
CmaCh10G010440.1	474	2942716	595	32.828	396	238	10	19	404	50	427	9.28e-47	174
CmaCh10G010440.1	474	3093925	514	34.773	463	278	11	17	474	37	480	3.61e-78	256
CmaCh10G010440.1	474	2795886	466	35.590	458	266	10	19	471	24	457	5.35e-78	254
CmaCh10G010440.1	474	2997401	477	35.792	461	268	11	23	474	3	444	5.15e-77	252
CmaCh10G010440.1	474	2949492	487	32.979	470	281	11	20	474	22	472	5.80e-76	249
CmaCh10G010440.1	474	2951381	511	33.049	469	276	12	20	471	22	469	2.02e-75	249
CmaCh10G010440.1	474	2844193	502	34.433	485	278	14	3	474	12	469	2.19e-73	243
CmaCh10G010440.1	474	3064839	600	32.071	449	249	10	59	472	131	558	2.88e-72	243
CmaCh10G010440.1	474	3064839	600	24.904	261	173	6	129	387	36	275	9.51e-15	80.9
CmaCh10G010440.1	474	3347884	600	37.690	329	188	4	143	471	244	555	2.91e-72	243
CmaCh10G010440.1	474	3347884	600	28.851	409	243	15	6	404	20	390	9.30e-34	138
CmaCh10G010440.1	474	2842767	885	33.962	371	228	5	105	474	405	759	1.33e-71	247
CmaCh10G010440.1	474	2842767	885	29.377	337	212	12	76	405	169	486	1.11e-26	118
CmaCh10G010440.1	474	2842767	885	23.368	291	202	9	99	385	90	363	5.90e-12	72.8
CmaCh10G010440.1	474	2831181	600	37.612	335	188	6	138	472	245	558	8.02e-71	239
CmaCh10G010440.1	474	2831181	600	28.398	412	247	16	3	404	19	392	2.50e-31	131
CmaCh10G010440.1	474	3097463	600	31.626	449	251	10	59	472	131	558	1.87e-70	238
CmaCh10G010440.1	474	3097463	600	26.616	263	166	7	129	387	36	275	3.00e-15	82.8
CmaCh10G010440.1	474	3289171	586	37.725	334	187	6	138	471	246	558	3.61e-70	237
CmaCh10G010440.1	474	3289171	586	29.073	399	232	15	20	404	32	393	2.57e-29	125
CmaCh10G010440.1	474	3265723	541	30.021	483	286	11	24	472	30	494	3.79e-70	236
CmaCh10G010440.1	474	3062582	2046	35.236	403	226	9	87	473	1537	1920	1.44e-69	245
CmaCh10G010440.1	474	3062582	2046	27.365	296	194	7	63	349	1263	1546	3.90e-23	107
CmaCh10G010440.1	474	3141039	1954	34.739	403	228	9	87	473	1445	1828	2.08e-69	244
CmaCh10G010440.1	474	3141039	1954	27.304	293	192	7	66	349	1174	1454	4.33e-22	104
CmaCh10G010440.1	474	3208210	545	32.176	432	211	9	105	474	9	420	5.03e-69	233
CmaCh10G010440.1	474	2971705	344	35.522	335	200	4	145	474	6	329	1.13e-68	226
CmaCh10G010440.1	474	3000554	483	35.598	368	220	5	106	473	7	357	2.85e-68	229
CmaCh10G010440.1	474	3000554	483	27.753	227	130	9	97	311	102	306	6.40e-13	75.1
CmaCh10G010440.1	474	3000554	483	24.713	174	128	2	213	386	3	173	7.72e-13	74.7
CmaCh10G010440.1	474	3139104	2046	34.988	403	227	9	87	473	1537	1920	3.37e-68	241
CmaCh10G010440.1	474	3139104	2046	27.365	296	194	7	63	349	1263	1546	3.93e-23	107
CmaCh10G010440.1	474	2784911	360	35.165	364	218	5	105	468	9	354	1.12e-67	224
CmaCh10G010440.1	474	2854239	772	35.405	370	218	6	106	473	383	733	1.42e-67	234
CmaCh10G010440.1	474	2854239	772	27.797	295	196	6	105	399	82	359	1.12e-21	102
CmaCh10G010440.1	474	2854239	772	27.076	277	185	7	130	404	2	263	7.39e-19	94.0
CmaCh10G010440.1	474	2854239	772	24.759	311	213	8	105	413	183	474	7.48e-18	90.9
CmaCh10G010440.1	474	3078042	1540	38.525	366	200	7	108	470	333	676	4.23e-67	238
CmaCh10G010440.1	474	3078042	1540	26.587	252	163	7	148	399	176	405	1.22e-13	78.2
CmaCh10G010440.1	474	3011368	600	33.854	384	224	8	94	471	198	557	9.57e-67	228
CmaCh10G010440.1	474	3011368	600	28.431	408	246	15	6	404	22	392	8.85e-32	132
CmaCh10G010440.1	474	3207245	511	39.103	312	173	6	163	474	92	386	1.15e-66	226
CmaCh10G010440.1	474	2845325	923	33.827	405	243	8	73	473	414	797	1.23e-66	234
CmaCh10G010440.1	474	2845325	923	28.571	294	191	8	112	404	52	327	1.52e-22	105
CmaCh10G010440.1	474	2845325	923	25.763	295	202	6	105	399	146	423	6.93e-22	103
CmaCh10G010440.1	474	2845325	923	23.529	340	238	8	76	413	219	538	4.27e-20	98.2
CmaCh10G010440.1	474	2851384	1465	33.577	411	237	10	70	470	955	1339	2.57e-66	235
CmaCh10G010440.1	474	2851384	1465	26.273	373	221	12	81	419	670	1022	3.18e-28	123
CmaCh10G010440.1	474	2851384	1465	28.440	327	212	9	76	398	557	865	2.81e-22	105
CmaCh10G010440.1	474	2851384	1465	28.936	235	138	7	125	345	808	1027	7.94e-19	94.4
CmaCh10G010440.1	474	3349722	600	35.583	326	191	7	148	471	251	559	3.72e-66	227
CmaCh10G010440.1	474	3349722	600	27.889	398	242	15	19	404	30	394	8.66e-29	123
CmaCh10G010440.1	474	3349722	600	24.664	223	153	5	93	314	302	510	3.20e-12	73.2
CmaCh10G010440.1	474	3349722	600	23.022	278	190	8	120	394	27	283	1.82e-11	70.9
CmaCh10G010440.1	474	2772783	2596	37.500	368	209	6	108	474	1227	1574	7.63e-66	234
CmaCh10G010440.1	474	2772783	2596	26.515	264	180	6	141	404	1156	1405	7.03e-18	91.7
CmaCh10G010440.1	474	2772783	2596	24.803	254	165	7	148	399	1070	1299	4.58e-13	76.6
CmaCh10G010440.1	474	3025037	1591	33.506	385	232	7	97	471	207	577	8.43e-66	234
CmaCh10G010440.1	474	3025037	1591	29.496	417	246	14	11	404	20	411	1.79e-37	150
CmaCh10G010440.1	474	3158186	906	32.731	443	240	10	55	473	372	780	1.41e-65	231
CmaCh10G010440.1	474	3158186	906	26.974	304	165	7	147	401	315	610	5.85e-21	100
CmaCh10G010440.1	474	3158186	906	29.514	288	158	9	137	399	115	382	1.05e-17	90.5
CmaCh10G010440.1	474	3158186	906	23.469	294	157	9	125	381	41	303	9.55e-13	75.1
CmaCh10G010440.1	474	2774561	601	34.384	349	206	7	125	471	233	560	1.89e-65	225
CmaCh10G010440.1	474	2774561	601	28.788	396	242	13	19	404	30	395	3.59e-33	136
CmaCh10G010440.1	474	2774561	601	26.941	219	145	5	95	312	305	509	3.86e-13	75.9
CmaCh10G010440.1	474	2774561	601	22.662	278	192	8	120	394	27	284	9.65e-11	68.6
CmaCh10G010440.1	474	3039396	879	32.432	370	229	5	105	474	406	754	2.29e-65	229
CmaCh10G010440.1	474	3039396	879	31.655	278	176	5	128	405	224	487	1.88e-35	144
CmaCh10G010440.1	474	3039396	879	28.713	303	196	8	103	404	303	586	4.95e-26	116
